id	sex	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2007	2008	2009	2010	2011	2012	2013	2014
47641	m	0	0	0	0	0	F	B	F	F	0	B	B	B	0	0	0	0	0	0	0
47644	m	0	0	0	0	S	0	F	S	0	F	S	0	0	S	0	S	0	S	0	S
47646	f	0	0	0	0	S	0	F	B	S	0	S	0	0	S	0	S	0	S	0	0
47647	m	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47648	m	0	0	0	0	S	0	S	0	B	B	B	0	0	0	0	0	0	0	0	0
47649	f	0	0	0	0	F	F	S	0	F	S	0	N	F	B	0	0	0	0	0	0
47650	m	0	0	0	0	0	S	0	F	F	S	0	N	S	0	B	B	B	0	0	0
47652	m	0	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0
47653	f	0	0	0	0	0	S	0	F	0	0	0	0	0	0	0	0	0	0	0	0
47655	m	0	0	0	0	S	0	S	A	S	0	S	0	0	S	0	B	B	B	B	B
47656	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47657	f	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47658	f	0	0	0	0	S	0	0	0	0	0	0	B	0	0	0	0	0	0	0	0
47660	m	0	0	0	0	0	S	0	S	0	S	0	N	B	B	B	B	B	F	B	S
47661	m	0	0	0	0	F	S	0	B	B	S	0	B	S	A	0	B	B	B	B	B
47663	m	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47664	m	0	0	0	0	S	0	B	B	S	0	F	0	0	S	0	B	0	0	0	0
47666	f	0	0	0	0	S	0	S	0	S	A	B	N	S	0	0	0	0	0	0	0
47667	f	0	0	0	0	F	0	B	B	B	S	0	0	0	0	0	0	0	0	0	0
47668	f	0	0	0	0	S	0	S	0	S	0	S	0	S	0	0	0	0	0	0	0
47669	f	0	0	0	0	0	S	0	0	S	0	S	A	F	0	B	S	0	0	0	0
47670	m	0	0	0	0	S	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0
47672	m	0	0	0	0	F	B	S	0	S	0	T	0	0	S	0	0	0	0	0	0
47673	f	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47674	m	0	0	0	0	S	0	F	S	0	S	0	N	B	S	0	S	0	B	B	0
47675	f	0	0	0	0	S	0	F	S	0	S	0	N	0	0	0	0	0	0	0	0
47676	m	0	0	0	0	S	0	B	S	0	F	B	N	B	0	0	0	0	B	0	0
47677	f	0	0	0	0	0	F	B	F	F	0	0	0	0	0	0	0	0	0	0	0
47678	m	0	0	0	0	S	0	T	0	B	S	0	N	B	B	B	B	B	B	B	B
47679	f	0	0	0	0	S	0	S	A	B	S	A	N	0	0	0	0	0	0	0	0
47681	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47682	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47683	m	0	0	0	0	S	0	B	S	0	F	S	0	0	0	0	0	0	0	0	0
47684	m	0	0	0	0	S	0	S	0	S	0	S	0	0	S	0	S	0	0	0	0
47685	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47686	m	0	0	0	0	S	0	F	B	B	F	F	B	B	0	B	B	B	0	0	0
47688	m	0	0	0	0	S	0	B	B	M	0	T	0	0	S	0	B	B	S	0	S
47689	m	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47690	m	0	0	0	0	S	0	S	0	S	0	S	0	0	S	0	S	0	F	S	0
47692	f	0	0	0	0	F	S	0	S	0	S	0	N	0	0	0	0	0	0	0	0
47694	f	0	0	0	0	S	0	S	0	S	0	S	0	B	S	0	0	0	0	0	0
47696	m	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47697	m	0	0	0	0	S	0	B	S	0	S	0	N	0	0	0	0	0	0	0	0
47698	m	0	0	0	0	0	F	S	0	S	0	B	N	B	B	B	B	B	F	B	0
47699	f	0	0	0	0	S	A	S	0	B	S	A	F	0	0	0	0	0	0	0	0
47700	f	0	0	0	0	S	A	S	A	S	A	S	0	0	0	0	0	0	0	0	0
47701	f	0	0	0	0	S	0	B	S	0	T	0	M	0	0	0	0	0	0	0	0
47702	m	0	0	0	0	0	0	S	0	S	0	S	A	S	0	B	B	B	S	0	S
47703	f	0	0	0	0	S	0	B	S	0	0	0	0	0	0	0	0	0	0	0	0
47704	f	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47706	m	0	0	0	0	0	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0
47707	m	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47709	f	0	0	0	0	0	S	0	S	A	S	0	B	0	0	B	0	B	S	0	0
47711	f	0	0	0	0	0	S	0	S	0	S	A	N	0	F	F	0	0	0	0	0
47712	m	0	0	0	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0
47713	m	0	0	0	0	F	F	B	S	0	S	0	N	B	B	B	B	0	0	0	0
47714	f	0	0	0	0	S	0	S	A	S	0	S	0	0	S	0	F	F	S	0	0
47715	f	0	0	0	0	S	0	F	S	0	S	0	N	B	F	F	0	0	0	0	0
47716	f	0	0	0	0	S	0	S	0	B	B	B	B	0	0	0	0	0	0	0	0
47717	f	0	0	0	0	0	F	B	B	0	0	0	0	M	0	0	0	0	0	0	0
47718	f	0	0	0	0	0	0	0	S	0	S	0	F	0	S	0	S	0	0	0	0
47719	f	0	0	0	0	S	0	S	0	S	0	0	0	0	0	0	0	0	0	0	0
47720	f	0	0	0	0	0	F	F	0	0	0	0	0	0	0	0	0	0	0	0	0
47721	f	0	0	0	0	S	0	B	S	0	S	0	F	B	S	0	0	0	0	B	0
47722	m	0	0	0	0	S	0	B	S	0	S	A	B	B	S	0	B	B	B	F	B
47723	f	0	0	0	0	0	0	0	S	A	B	0	0	0	0	0	0	0	0	0	0
47726	f	0	0	0	0	S	0	F	F	0	0	0	0	0	0	0	0	0	0	0	0
47727	m	0	0	0	0	0	0	0	0	0	0	F	B	B	B	B	B	B	B	0	0
47728	f	0	0	0	0	S	0	S	0	0	0	0	B	0	0	0	0	0	0	0	0
47729	f	0	0	0	0	0	S	0	F	F	S	0	N	0	0	0	0	0	0	0	0
47730	f	0	0	0	0	0	0	S	A	S	0	T	0	0	S	0	0	0	0	0	0
47732	m	0	0	0	0	0	0	S	0	S	A	S	0	B	B	B	B	B	B	B	B
47733	m	0	0	0	0	S	0	B	B	F	0	S	0	S	A	B	B	B	S	0	0
47734	f	0	0	0	0	S	0	0	0	0	0	0	0	S	0	0	0	0	0	0	0
47736	f	0	0	0	0	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47737	m	0	0	0	0	F	0	B	T	0	0	0	0	0	0	0	0	0	0	0	0
47738	m	0	0	0	0	S	0	S	A	0	0	0	0	0	0	0	0	0	0	0	0
47739	m	0	0	0	0	S	0	B	B	B	S	0	N	B	S	0	B	B	B	B	B
47740	f	0	0	0	0	S	0	S	0	S	0	S	0	0	S	0	S	0	B	0	0
47742	f	0	0	0	0	0	F	B	0	B	0	0	0	0	0	0	0	0	0	0	0
47743	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47744	f	0	0	0	0	S	0	B	S	A	F	S	0	0	0	0	0	0	0	0	0
47745	m	0	0	0	0	F	S	0	S	0	S	0	N	0	B	B	S	0	B	B	B
47746	m	0	0	0	0	S	0	S	0	S	0	S	0	B	S	0	B	B	B	0	0
47747	f	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47748	f	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47749	m	0	0	0	0	S	0	S	A	S	0	S	0	0	B	B	B	B	B	B	B
47750	m	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47751	f	0	0	0	0	0	0	S	0	S	0	S	0	S	0	0	0	0	0	0	0
47752	m	0	0	0	0	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47754	m	S	0	S	0	S	0	F	0	S	A	S	0	B	B	B	B	S	0	S	0
47756	m	0	0	0	0	F	0	S	0	0	0	0	0	0	0	0	0	0	S	0	0
47757	f	0	0	0	0	0	S	0	F	S	0	S	0	S	0	0	0	0	0	0	0
47758	f	0	0	0	0	0	S	A	B	B	S	0	N	S	0	0	0	0	0	0	0
47759	m	0	0	0	0	F	F	S	0	S	0	S	0	0	S	0	B	B	B	B	B
47760	f	0	0	0	0	F	F	S	0	0	0	0	0	0	0	0	0	0	0	0	0
